id,descricao,validade_data_completa,numero_serie,localizacao,status_calibracao,psi
1,BRS-0628,2025-12-02,,,Em Calibração,5000
2,BRS-0869,2026-01-14,,,OK,1000
3,BRS-0923,2026-01-18,,,OK,3000
4,BRS-0625,2026-02-26,,,OK,5000 
5,BRS-0930,2026-01-18,,,OK,3000
6,BRS-0276,2026-05-20,,3.22,OK,20000
7,BRS-0280,2026-05-20,,,OK,20000
8,BRS-0286,2026-05-20,,,OK,10000
9,BRS-0921,2026-02-26,,,OK,3000
10,BRS-0315,2026-02-26,,,OK,10000
11,BRS-0230,2026-04-19,,,OK,100
12,BRS-0772,2026-02-01,,3.17A,OK,10000
13,BRS-0631,2026-12-02,,3.22,OK,10000
14,BRS - 0099,2026-05-26,,3.30,OK,36000
